company_name,sector,hq_city,founded_year,employee_count,funding_stage,total_funding_usd,employee_growth_pct,active_job_openings,top_hiring_roles,wlb_rating,culture_rating,growth_opportunity_rating,salary_rating,overall_employee_rating,glassdoor_reviews_count,remote_friendly,layoff_flag,ai_roles_focus,tier2_expansion,hire_quality_label,funding_ordinal,hiring_pressure,sector_clean,city_clean,log_funding,funding_per_empl,startup_age,review_density,growth_x_ai
Swish,Food Delivery,Bengaluru,2024,115,Series A,14000000,42,18,Software Engineer; QA Executive; Ops Manager,3.8,4.1,4.4,3.6,4.0,12,Hybrid,0,0,0,Growing,3,0.1565217391304348,D2C,Bengaluru,16.454567959008102,0.1430831996435487,1,0.10434782608695652,42
IndiaStartup_0088,Climate Tech,Bengaluru,2021,13,Bootstrapped,2000000,164,2,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,11,On-site,0,0,1,High Desirability,0,0.15384615384615385,Climate Tech,Bengaluru,14.508658238524095,1.1160506337326228,4,0.8461538461538461,164
IndiaStartup_0089,HR Tech,Gurugram,2019,157,Bootstrapped,500000,38,25,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,8,Hybrid,0,0,0,Emerging,0,0.1592356687898089,HR Tech,Gurugram,13.122365377402328,0.08358194507899572,6,0.050955414012738856,38
IndiaStartup_0090,EdTech,Noida,2023,260,Series A,100000,39,33,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,12,Remote,0,0,0,Emerging,3,0.12692307692307692,EdTech,Noida,11.51293546492023,0.044280521018923956,2,0.046153846153846156,39
IndiaStartup_0091,EdTech,Nagpur,2023,6,Bootstrapped,2000000,114,1,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,29,Hybrid,0,0,0,Emerging,0,0.16666666666666666,EdTech,Nagpur,14.508658238524095,2.4181097064206827,2,4.833333333333333,114
IndiaStartup_0092,SpaceTech,Indore,2020,201,Pre-Series A,2000000,95,10,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,2,Remote,0,0,0,Emerging,2,0.04975124378109453,SpaceTech,Indore,14.508658238524095,0.07218237929613977,5,0.009950248756218905,95
IndiaStartup_0093,FinTech,Hyderabad,2020,150,Seed,25000000,179,18,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,16,On-site,0,0,1,High Desirability,1,0.12,FinTech,Hyderabad,17.034386422832473,0.11356257615221649,5,0.10666666666666667,179
IndiaStartup_0094,SpaceTech,Hyderabad,2020,163,Bootstrapped,250000,120,13,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,11,Remote,0,0,1,Emerging,0,0.07975460122699386,SpaceTech,Hyderabad,12.429220196836383,0.076252884643168,5,0.06748466257668712,120
IndiaStartup_0095,EdTech,Pune,2017,216,Series B,500000,157,9,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,7,Hybrid,0,0,0,Growing,4,0.041666666666666664,EdTech,Pune,13.122365377402328,0.060751691562047815,8,0.032407407407407406,157
IndiaStartup_0096,DevTools,Gurugram,2020,157,Pre-Series A,250000,11,15,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,28,Remote,0,1,0,Growing,2,0.09554140127388536,DevTools,Gurugram,12.429220196836383,0.07916700762316167,5,0.17834394904458598,22
IndiaStartup_0097,SpaceTech,Indore,2023,313,Series A,25000000,30,46,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,27,Hybrid,0,0,0,Growing,3,0.14696485623003194,SpaceTech,Indore,17.034386422832473,0.05442295981735614,2,0.08626198083067092,30
IndiaStartup_0098,EdTech,Hyderabad,2022,112,Pre-Series A,10000000,24,6,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,13,On-site,0,0,1,Emerging,2,0.05357142857142857,EdTech,Hyderabad,16.118095750958314,0.14391156920498496,3,0.11607142857142858,24
IndiaStartup_0099,HealthTech,Nagpur,2018,146,Series B,25000000,10,29,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,10,On-site,0,0,0,Emerging,4,0.19863013698630136,HealthTech,Nagpur,17.034386422832473,0.1166738796084416,7,0.0684931506849315,10
IndiaStartup_0100,AI,Mumbai,2023,88,Series B,25000000,80,16,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,22,On-site,0,1,1,High Desirability,4,0.18181818181818182,AI,Mumbai,17.034386422832473,0.19357257298673264,2,0.25,160
IndiaStartup_0101,HR Tech,Surat,2025,223,Bootstrapped,5000000,131,12,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,4,On-site,0,0,0,Growing,0,0.053811659192825115,HR Tech,Surat,15.424948670398354,0.0691701734098581,0,0.017937219730941704,131
IndiaStartup_0102,Climate Tech,Ahmedabad,2019,258,Series B,5000000,116,24,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,24,Remote,0,0,0,High Desirability,4,0.09302325581395349,Climate Tech,Ahmedabad,15.424948670398354,0.059786622753482,6,0.09302325581395349,116
IndiaStartup_0103,DeepTech,Delhi,2018,106,Series A,10000000,62,17,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,26,Remote,0,1,1,High Desirability,3,0.16037735849056603,DeepTech,Delhi,16.118095750958314,0.1520575070845124,7,0.24528301886792453,124
IndiaStartup_0104,EdTech,Gurugram,2023,247,Pre-Series A,5000000,158,39,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,4,On-site,0,0,0,Emerging,2,0.15789473684210525,EdTech,Gurugram,15.424948670398354,0.0624491849003982,2,0.016194331983805668,158
IndiaStartup_0105,D2C,Surat,2020,6,Seed,2000000,131,1,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,15,On-site,0,0,0,High Desirability,1,0.16666666666666666,D2C,Surat,14.508658238524095,2.4181097064206827,5,2.5,131
IndiaStartup_0106,HR Tech,Kochi,2016,114,Series A,10000000,163,17,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,21,On-site,0,0,0,High Desirability,3,0.14912280701754385,HR Tech,Kochi,16.118095750958314,0.14138680483296767,9,0.18421052631578946,163
IndiaStartup_0107,Robotics,Indore,2018,36,Series B,2000000,178,2,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,19,Remote,0,1,0,Emerging,4,0.05555555555555555,Robotics,Indore,14.508658238524095,0.4030182844034471,7,0.5277777777777778,356
IndiaStartup_0108,DevTools,Delhi,2016,131,Seed,0,164,11,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,27,On-site,0,1,1,Emerging,1,0.08396946564885496,DevTools,Delhi,0.0,0.0,9,0.20610687022900764,328
IndiaStartup_0109,HR Tech,Kochi,2016,81,Bootstrapped,2000000,157,11,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,10,On-site,0,0,0,High Desirability,0,0.13580246913580246,HR Tech,Kochi,14.508658238524095,0.17911923751264314,9,0.12345679012345678,157
IndiaStartup_0110,SaaS,Pune,2017,65,Pre-Series A,10000000,143,11,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,16,Remote,0,0,0,High Desirability,2,0.16923076923076924,SaaS,Pune,16.118095750958314,0.24797070386089715,8,0.24615384615384617,143
IndiaStartup_0111,Climate Tech,Hyderabad,2022,165,Bootstrapped,5000000,95,12,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,13,On-site,0,0,1,High Desirability,0,0.07272727272727272,Climate Tech,Hyderabad,15.424948670398354,0.09348453739635366,3,0.07878787878787878,95
IndiaStartup_0112,Semiconductor,Bengaluru,2016,335,Series A,25000000,148,58,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,30,Hybrid,0,1,1,Growing,3,0.17313432835820897,Semiconductor,Bengaluru,17.034386422832473,0.050848914695022306,9,0.08955223880597014,296
IndiaStartup_0113,HealthTech,Gurugram,2021,390,Pre-Series A,500000,77,51,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,1,Hybrid,0,0,0,High Desirability,2,0.13076923076923078,HealthTech,Gurugram,13.122365377402328,0.03364709071128802,4,0.002564102564102564,77
IndiaStartup_0114,AgriTech,Hyderabad,2025,358,Series B,250000,69,38,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,2,Remote,0,0,1,High Desirability,4,0.10614525139664804,AgriTech,Hyderabad,12.429220196836383,0.03471849216993403,0,0.00558659217877095,69
IndiaStartup_0115,Logistics,Hyderabad,2021,36,Series B,100000,161,3,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,18,Hybrid,0,0,1,Growing,4,0.08333333333333333,Logistics,Hyderabad,11.51293546492023,0.3198037629144508,4,0.5,161
IndiaStartup_0116,AI,Delhi,2021,388,Seed,25000000,160,49,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,3,Remote,0,1,1,Growing,1,0.12628865979381443,AI,Delhi,17.034386422832473,0.04390305779080534,4,0.007731958762886598,320
IndiaStartup_0117,Climate Tech,Kochi,2025,152,Series A,500000,76,9,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,14,Hybrid,0,0,0,Emerging,3,0.05921052631578947,Climate Tech,Kochi,13.122365377402328,0.08633135116712058,0,0.09210526315789473,76
IndiaStartup_0118,Robotics,Nagpur,2020,322,Pre-Series A,100000,112,45,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,10,Remote,0,1,0,Growing,2,0.13975155279503104,Robotics,Nagpur,11.51293546492023,0.03575445796559077,5,0.031055900621118012,224
IndiaStartup_0119,DeepTech,Delhi,2016,398,Pre-Series A,250000,95,77,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,27,On-site,0,1,1,Emerging,2,0.1934673366834171,DeepTech,Delhi,12.429220196836383,0.03122919647446327,9,0.0678391959798995,190
IndiaStartup_0120,HealthTech,Mumbai,2023,90,Seed,250000,60,12,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,29,Hybrid,0,0,1,Growing,1,0.13333333333333333,HealthTech,Mumbai,12.429220196836383,0.13810244663151536,2,0.32222222222222224,60
IndiaStartup_0121,Climate Tech,Delhi,2020,31,Bootstrapped,2000000,85,5,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,16,Hybrid,0,0,1,Emerging,0,0.16129032258064516,Climate Tech,Delhi,14.508658238524095,0.4680212335007773,5,0.5161290322580645,85
IndiaStartup_0122,AgriTech,Surat,2016,34,Series A,5000000,82,5,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,15,Hybrid,0,0,0,High Desirability,3,0.14705882352941177,AgriTech,Surat,15.424948670398354,0.4536749608940692,9,0.4411764705882353,82
IndiaStartup_0123,DevTools,Chennai,2020,278,Seed,1000000,118,54,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,6,Hybrid,0,1,0,Growing,1,0.19424460431654678,DevTools,Chennai,13.815511557963774,0.04969608474087688,5,0.02158273381294964,236
IndiaStartup_0124,DevTools,Kochi,2025,327,Pre-Series A,100000,135,11,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,4,Remote,0,1,0,High Desirability,2,0.03363914373088685,DevTools,Kochi,11.51293546492023,0.03520775371535238,0,0.012232415902140673,270
IndiaStartup_0125,Climate Tech,Delhi,2025,82,Seed,500000,11,15,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,9,Hybrid,0,0,1,Emerging,1,0.18292682926829268,Climate Tech,Delhi,13.122365377402328,0.16002884606588205,0,0.10975609756097561,11
IndiaStartup_0126,EdTech,Pune,2024,163,Seed,25000000,99,18,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,2,Remote,0,0,0,Emerging,1,0.11042944785276074,EdTech,Pune,17.034386422832473,0.10450543817688633,1,0.012269938650306749,99
IndiaStartup_0127,HR Tech,Indore,2018,18,Series B,500000,46,3,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,20,Hybrid,0,0,0,High Desirability,4,0.16666666666666666,HR Tech,Indore,13.122365377402328,0.7290202987445737,7,1.1111111111111112,46
IndiaStartup_0128,SpaceTech,Kochi,2020,233,Bootstrapped,1000000,118,34,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,21,On-site,0,0,0,Emerging,0,0.1459227467811159,SpaceTech,Kochi,13.815511557963774,0.05929404102130375,5,0.09012875536480687,118
IndiaStartup_0129,D2C,Nagpur,2016,322,Series B,1000000,125,34,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,14,On-site,0,0,0,High Desirability,4,0.10559006211180125,D2C,Nagpur,13.815511557963774,0.04290531539740303,9,0.043478260869565216,125
IndiaStartup_0130,DevTools,Indore,2022,185,Series A,25000000,54,19,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,6,On-site,0,1,0,High Desirability,3,0.10270270270270271,DevTools,Indore,17.034386422832473,0.0920777644477431,3,0.032432432432432434,108
IndiaStartup_0131,Robotics,Noida,2016,101,Series A,2000000,139,3,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,12,On-site,0,1,0,High Desirability,3,0.0297029702970297,Robotics,Noida,14.508658238524095,0.1436500815695455,9,0.1188118811881188,278
IndiaStartup_0132,HR Tech,Kochi,2020,314,Seed,10000000,169,38,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,14,Hybrid,0,0,0,High Desirability,1,0.12101910828025478,HR Tech,Kochi,16.118095750958314,0.05133151513044049,5,0.044585987261146494,169
IndiaStartup_0133,DeepTech,Pune,2025,363,Pre-Series A,25000000,153,36,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,8,Remote,0,1,0,Emerging,2,0.09917355371900827,DeepTech,Pune,17.034386422832473,0.04692668436042004,0,0.02203856749311295,306
IndiaStartup_0134,Semiconductor,Delhi,2023,359,Series B,500000,103,30,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,20,Remote,0,1,1,Growing,4,0.08356545961002786,Semiconductor,Delhi,13.122365377402328,0.036552549797778076,2,0.055710306406685235,206
IndiaStartup_0135,AI,Nagpur,2025,239,Bootstrapped,100000,126,25,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,6,Remote,0,1,0,Growing,0,0.10460251046025104,AI,Nagpur,11.51293546492023,0.04817127809590054,0,0.02510460251046025,252
IndiaStartup_0136,SaaS,Indore,2025,24,Seed,5000000,86,4,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,18,Hybrid,0,0,0,High Desirability,1,0.16666666666666666,SaaS,Indore,15.424948670398354,0.6427061945999314,0,0.75,86
IndiaStartup_0137,AgriTech,Mumbai,2024,61,Series B,250000,105,4,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,3,Remote,0,0,1,High Desirability,4,0.06557377049180328,AgriTech,Mumbai,12.429220196836383,0.20375770814485875,1,0.04918032786885246,105
IndiaStartup_0138,Semiconductor,Noida,2018,89,Bootstrapped,2000000,44,11,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,20,Remote,0,1,0,High Desirability,0,0.12359550561797752,Semiconductor,Noida,14.508658238524095,0.16301863189352916,7,0.2247191011235955,88
IndiaStartup_0139,AgriTech,Chennai,2019,338,Seed,5000000,6,44,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,17,On-site,0,0,0,Emerging,1,0.1301775147928994,AgriTech,Chennai,15.424948670398354,0.04563594281182945,6,0.05029585798816568,6
IndiaStartup_0140,HR Tech,Ahmedabad,2017,43,Series A,250000,62,2,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,21,Remote,0,0,0,Emerging,3,0.046511627906976744,HR Tech,Ahmedabad,12.429220196836383,0.28905163248456706,8,0.4883720930232558,62
IndiaStartup_0141,FinTech,Gurugram,2020,142,Series A,2000000,130,13,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,7,On-site,0,0,0,High Desirability,3,0.09154929577464789,FinTech,Gurugram,14.508658238524095,0.10217364956707109,5,0.04929577464788732,130
IndiaStartup_0142,AI,Indore,2020,146,Seed,10000000,162,19,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,8,Hybrid,0,1,0,High Desirability,1,0.13013698630136986,AI,Indore,16.118095750958314,0.11039791610245421,5,0.0547945205479452,324
IndiaStartup_0143,Robotics,Bengaluru,2022,215,Series B,10000000,60,42,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,4,On-site,0,1,1,Growing,4,0.19534883720930232,Robotics,Bengaluru,16.118095750958314,0.0749678872137596,3,0.018604651162790697,120
IndiaStartup_0144,EdTech,Nagpur,2018,75,Seed,10000000,81,5,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,10,Remote,0,0,0,Growing,1,0.06666666666666667,EdTech,Nagpur,16.118095750958314,0.21490794334611085,7,0.13333333333333333,81
IndiaStartup_0145,EdTech,Jaipur,2017,374,Series A,2000000,170,33,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,11,Remote,0,0,0,Emerging,3,0.08823529411764706,EdTech,Jaipur,14.508658238524095,0.03879320384632111,8,0.029411764705882353,170
IndiaStartup_0146,D2C,Gurugram,2018,240,Bootstrapped,100000,47,39,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,5,On-site,0,0,0,Growing,0,0.1625,D2C,Gurugram,11.51293546492023,0.04797056443716762,7,0.020833333333333332,47
IndiaStartup_0147,EdTech,Noida,2020,282,Series A,10000000,18,23,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,25,Hybrid,0,0,0,Emerging,3,0.08156028368794327,EdTech,Noida,16.118095750958314,0.0571563679111997,5,0.08865248226950355,18
IndiaStartup_0148,Logistics,Hyderabad,2016,117,Seed,500000,166,7,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,14,Remote,0,0,1,Emerging,1,0.05982905982905983,Logistics,Hyderabad,13.122365377402328,0.11215696903762674,9,0.11965811965811966,166
IndiaStartup_0149,FinTech,Delhi,2025,158,Bootstrapped,5000000,19,8,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,8,Remote,0,0,1,Growing,0,0.05063291139240506,FinTech,Delhi,15.424948670398354,0.09762625740758452,0,0.05063291139240506,19
IndiaStartup_0150,Semiconductor,Kochi,2021,200,Bootstrapped,1000000,22,15,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,24,Hybrid,0,1,0,High Desirability,0,0.075,Semiconductor,Kochi,13.815511557963774,0.06907755778981887,4,0.12,44
IndiaStartup_0151,Robotics,Ahmedabad,2016,257,Bootstrapped,2000000,87,22,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,25,Remote,0,1,0,Growing,0,0.08560311284046693,Robotics,Ahmedabad,14.508658238524095,0.056453923107097646,9,0.09727626459143969,174
IndiaStartup_0152,Climate Tech,Kochi,2023,93,Pre-Series A,2000000,73,5,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,9,Remote,0,0,0,Emerging,2,0.053763440860215055,Climate Tech,Kochi,14.508658238524095,0.1560070778335924,2,0.0967741935483871,73
IndiaStartup_0153,SpaceTech,Chennai,2022,287,Series B,25000000,57,38,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,23,Hybrid,0,0,0,Emerging,4,0.13240418118466898,SpaceTech,Chennai,17.034386422832473,0.05935326279732569,3,0.08013937282229965,57
IndiaStartup_0154,SpaceTech,Noida,2018,182,Seed,10000000,135,10,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,19,Hybrid,0,0,0,Emerging,1,0.054945054945054944,SpaceTech,Noida,16.118095750958314,0.08856096566460613,7,0.1043956043956044,135
IndiaStartup_0155,AI,Noida,2020,283,Seed,25000000,141,11,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,6,Hybrid,0,1,0,Growing,1,0.038869257950530034,AI,Noida,17.034386422832473,0.06019217817255291,5,0.02120141342756184,282
IndiaStartup_0156,Logistics,Nagpur,2018,203,Series B,2000000,158,7,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,5,Remote,0,0,0,High Desirability,4,0.034482758620689655,Logistics,Nagpur,14.508658238524095,0.0714712228498724,7,0.024630541871921183,158
IndiaStartup_0157,HR Tech,Gurugram,2019,11,Bootstrapped,0,101,1,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,29,Remote,0,0,0,Emerging,0,0.09090909090909091,HR Tech,Gurugram,0.0,0.0,6,2.6363636363636362,101
IndiaStartup_0158,FinTech,Mumbai,2025,319,Bootstrapped,2000000,49,13,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,12,On-site,0,0,1,Emerging,0,0.04075235109717868,FinTech,Mumbai,14.508658238524095,0.04548168726810061,0,0.03761755485893417,49
IndiaStartup_0159,FinTech,Chennai,2016,224,Seed,500000,30,32,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,30,Remote,0,0,0,Growing,1,0.14285714285714285,FinTech,Chennai,13.122365377402328,0.05858198829197468,9,0.13392857142857142,30
IndiaStartup_0160,Robotics,Pune,2016,357,Series A,1000000,95,64,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,19,Hybrid,0,1,0,Emerging,3,0.1792717086834734,Robotics,Pune,13.815511557963774,0.038698911927069396,9,0.05322128851540616,190
IndiaStartup_0161,SpaceTech,Chennai,2017,183,Seed,0,163,19,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,6,Remote,0,0,0,High Desirability,1,0.10382513661202186,SpaceTech,Chennai,0.0,0.0,8,0.03278688524590164,163
IndiaStartup_0162,FinTech,Chennai,2018,91,Pre-Series A,5000000,105,12,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,15,Remote,0,0,0,High Desirability,2,0.13186813186813187,FinTech,Chennai,15.424948670398354,0.16950493044393797,7,0.16483516483516483,105
IndiaStartup_0163,AI,Kochi,2019,390,Seed,500000,89,66,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,7,On-site,0,1,0,High Desirability,1,0.16923076923076924,AI,Kochi,13.122365377402328,0.03364709071128802,6,0.017948717948717947,178
IndiaStartup_0164,SaaS,Pune,2019,341,Bootstrapped,10000000,163,16,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,27,Remote,0,0,0,Emerging,0,0.0469208211143695,SaaS,Pune,16.118095750958314,0.04726714296468714,6,0.07917888563049853,163
IndiaStartup_0165,DeepTech,Gurugram,2019,257,Series B,500000,138,26,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,2,On-site,0,1,0,High Desirability,4,0.10116731517509728,DeepTech,Gurugram,13.122365377402328,0.05105978746070945,6,0.007782101167315175,276
IndiaStartup_0166,Climate Tech,Pune,2016,399,Seed,100000,69,74,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,4,Hybrid,0,0,0,High Desirability,1,0.18546365914786966,Climate Tech,Pune,11.51293546492023,0.028854474849424133,9,0.010025062656641603,69
IndiaStartup_0167,DeepTech,Surat,2025,328,Bootstrapped,25000000,107,23,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,6,Remote,0,1,0,High Desirability,0,0.0701219512195122,DeepTech,Surat,17.034386422832473,0.05193410494765998,0,0.018292682926829267,214
IndiaStartup_0168,FinTech,Pune,2016,33,Seed,1000000,27,2,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,1,Hybrid,0,0,0,High Desirability,1,0.06060606060606061,FinTech,Pune,13.815511557963774,0.4186518653928416,9,0.030303030303030304,27
IndiaStartup_0169,Semiconductor,Delhi,2024,50,Series B,25000000,63,2,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,30,On-site,0,1,1,High Desirability,4,0.04,Semiconductor,Delhi,17.034386422832473,0.34068772845664946,1,0.6,126
IndiaStartup_0170,Climate Tech,Noida,2016,200,Seed,250000,163,28,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,15,Remote,0,0,0,Growing,1,0.14,Climate Tech,Noida,12.429220196836383,0.06214610098418191,9,0.075,163
IndiaStartup_0171,DeepTech,Pune,2022,112,Bootstrapped,0,116,19,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,30,On-site,0,1,0,Emerging,0,0.16964285714285715,DeepTech,Pune,0.0,0.0,3,0.26785714285714285,232
IndiaStartup_0172,D2C,Chennai,2016,231,Series A,0,13,42,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,16,Hybrid,0,0,0,Emerging,3,0.18181818181818182,D2C,Chennai,0.0,0.0,9,0.06926406926406926,13
IndiaStartup_0173,Semiconductor,Gurugram,2022,154,Bootstrapped,2000000,89,15,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,10,On-site,0,1,0,Emerging,0,0.09740259740259741,Semiconductor,Gurugram,14.508658238524095,0.09421206648392269,3,0.06493506493506493,178
IndiaStartup_0174,EdTech,Delhi,2025,63,Seed,500000,7,4,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,8,On-site,0,0,1,High Desirability,1,0.06349206349206349,EdTech,Delhi,13.122365377402328,0.20829151392702108,0,0.12698412698412698,7
IndiaStartup_0175,SaaS,Mumbai,2018,103,Series A,500000,51,5,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,21,Remote,0,0,1,Emerging,3,0.04854368932038835,SaaS,Mumbai,13.122365377402328,0.12740160560584785,7,0.20388349514563106,51
IndiaStartup_0176,HR Tech,Kochi,2022,226,Seed,2000000,160,18,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,10,Hybrid,0,0,0,Emerging,1,0.07964601769911504,HR Tech,Kochi,14.508658238524095,0.06419760282532785,3,0.04424778761061947,160
IndiaStartup_0177,SaaS,Surat,2025,205,Bootstrapped,500000,175,12,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,25,On-site,0,0,0,Growing,0,0.05853658536585366,SaaS,Surat,13.122365377402328,0.06401153842635282,0,0.12195121951219512,175
IndiaStartup_0178,SpaceTech,Delhi,2024,375,Series B,500000,65,31,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,3,Remote,0,0,1,High Desirability,4,0.08266666666666667,SpaceTech,Delhi,13.122365377402328,0.034992974339739545,1,0.008,65
IndiaStartup_0179,AgriTech,Hyderabad,2021,156,Series B,0,95,8,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,15,On-site,0,0,1,Emerging,4,0.05128205128205128,AgriTech,Hyderabad,0.0,0.0,4,0.09615384615384616,95
IndiaStartup_0180,AgriTech,Pune,2025,200,Bootstrapped,10000000,164,33,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,26,On-site,0,0,0,Growing,0,0.165,AgriTech,Pune,16.118095750958314,0.08059047875479157,0,0.13,164
IndiaStartup_0181,DeepTech,Kochi,2020,190,Series B,25000000,87,25,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,23,On-site,0,1,0,Growing,4,0.13157894736842105,DeepTech,Kochi,17.034386422832473,0.08965466538332881,5,0.12105263157894737,174
IndiaStartup_0182,Climate Tech,Surat,2022,288,Pre-Series A,250000,6,56,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,4,On-site,0,0,0,Growing,2,0.19444444444444445,Climate Tech,Surat,12.429220196836383,0.04315701457234855,3,0.013888888888888888,6
IndiaStartup_0183,FinTech,Surat,2018,218,Bootstrapped,2000000,72,23,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,4,Hybrid,0,0,0,Growing,0,0.10550458715596331,FinTech,Surat,14.508658238524095,0.06655347815836742,7,0.01834862385321101,72
IndiaStartup_0184,Logistics,Delhi,2017,64,Bootstrapped,500000,106,8,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,27,Remote,0,0,1,High Desirability,0,0.125,Logistics,Delhi,13.122365377402328,0.20503695902191138,8,0.421875,106
IndiaStartup_0185,FinTech,Delhi,2019,300,Seed,1000000,123,49,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,30,On-site,0,0,1,Emerging,1,0.16333333333333333,FinTech,Delhi,13.815511557963774,0.046051705193212576,6,0.1,123
