company_name,sector,hq_city,founded_year,employee_count,funding_stage,total_funding_usd,employee_growth_pct,active_job_openings,top_hiring_roles,wlb_rating,culture_rating,growth_opportunity_rating,salary_rating,overall_employee_rating,glassdoor_reviews_count,remote_friendly,layoff_flag,ai_roles_focus,tier2_expansion,hire_quality_label
Swish,Food Delivery,Bengaluru,2024,115,Series A,14000000,42,18,Software Engineer; QA Executive; Ops Manager,3.8,4.1,4.4,3.6,4.0,12,Hybrid,0,0,0,Growing
IndiaStartup_0011,Robotics,Indore,2018,35,Series A,25000000,148,6,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,20,Remote,0,1,0,Growing
IndiaStartup_0012,SaaS,Ahmedabad,2023,334,Series B,25000000,124,26,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,5,On-site,0,0,0,Growing
IndiaStartup_0013,SaaS,Indore,2023,94,Seed,0,38,10,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,4,Hybrid,0,0,0,Growing
IndiaStartup_0014,EdTech,Nagpur,2025,142,Series B,250000,122,26,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,14,Hybrid,0,0,0,Emerging
IndiaStartup_0015,SaaS,Gurugram,2024,327,Series A,1000000,98,29,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,2,Hybrid,0,0,0,Emerging
IndiaStartup_0016,SaaS,Mumbai,2020,246,Series A,2000000,23,47,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,4,Hybrid,0,0,1,Growing
IndiaStartup_0017,HR Tech,Mumbai,2022,37,Pre-Series A,10000000,8,7,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,22,Remote,0,0,1,Growing
IndiaStartup_0018,Robotics,Chennai,2024,233,Series A,10000000,32,13,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,11,Hybrid,0,1,0,High Desirability
IndiaStartup_0019,D2C,Indore,2019,210,Pre-Series A,2000000,153,38,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,25,On-site,0,0,0,Emerging
IndiaStartup_0020,EdTech,Noida,2017,306,Series A,250000,173,34,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,16,Hybrid,0,0,0,High Desirability
IndiaStartup_0021,HealthTech,Nagpur,2022,151,Seed,0,66,12,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,2,Hybrid,0,0,0,High Desirability
IndiaStartup_0022,Semiconductor,Surat,2024,118,Series B,0,110,8,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,6,On-site,0,1,0,High Desirability
IndiaStartup_0023,Logistics,Chennai,2017,176,Series B,250000,115,22,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,11,Remote,0,0,0,Growing
IndiaStartup_0024,D2C,Jaipur,2023,273,Series B,10000000,82,14,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,27,Hybrid,0,0,0,Emerging
IndiaStartup_0025,DevTools,Jaipur,2018,93,Bootstrapped,1000000,152,3,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,25,Remote,0,1,0,Emerging
IndiaStartup_0026,Robotics,Chennai,2021,400,Seed,2000000,78,21,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,9,Remote,0,1,0,High Desirability
IndiaStartup_0027,HealthTech,Ahmedabad,2024,374,Series B,1000000,118,67,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,24,Hybrid,0,0,0,Growing
IndiaStartup_0028,HR Tech,Hyderabad,2017,381,Series B,500000,47,40,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,26,On-site,0,0,1,Emerging
IndiaStartup_0029,HealthTech,Indore,2016,280,Series B,500000,94,49,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,4,Hybrid,0,0,0,High Desirability
IndiaStartup_0030,Logistics,Mumbai,2019,313,Seed,5000000,96,43,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,3,Hybrid,0,0,1,Growing
IndiaStartup_0031,HR Tech,Indore,2019,60,Series B,250000,126,11,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,30,Remote,0,0,0,Growing
IndiaStartup_0032,HealthTech,Kochi,2020,268,Series B,1000000,169,26,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,30,Hybrid,0,0,0,High Desirability
IndiaStartup_0033,Logistics,Delhi,2021,6,Series B,25000000,65,1,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,20,On-site,0,0,1,Growing
IndiaStartup_0034,SaaS,Chennai,2022,351,Series B,100000,132,21,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,28,Remote,0,0,0,High Desirability
IndiaStartup_0035,AgriTech,Pune,2023,237,Series B,0,149,46,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,25,Remote,0,0,0,Emerging
IndiaStartup_0036,D2C,Noida,2018,167,Pre-Series A,10000000,168,10,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,24,Hybrid,0,0,0,Emerging
IndiaStartup_0037,D2C,Mumbai,2018,97,Seed,0,69,14,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,24,Hybrid,0,0,1,Emerging
IndiaStartup_0038,DeepTech,Mumbai,2019,177,Pre-Series A,25000000,80,7,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,28,Remote,0,1,1,High Desirability
IndiaStartup_0039,DeepTech,Delhi,2018,237,Pre-Series A,250000,177,9,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,2,Remote,0,1,1,High Desirability
IndiaStartup_0040,D2C,Hyderabad,2024,303,Series A,250000,147,22,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,23,Remote,0,0,1,High Desirability
IndiaStartup_0041,Climate Tech,Gurugram,2023,180,Series A,25000000,75,23,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,12,On-site,0,0,0,High Desirability
IndiaStartup_0042,HR Tech,Nagpur,2024,395,Pre-Series A,10000000,9,44,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,3,Hybrid,0,0,0,Emerging
IndiaStartup_0043,Robotics,Bengaluru,2022,364,Pre-Series A,25000000,156,50,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,19,Hybrid,0,1,1,Growing
IndiaStartup_0044,SaaS,Jaipur,2025,294,Pre-Series A,100000,99,35,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,29,On-site,0,0,0,Emerging
IndiaStartup_0045,EdTech,Hyderabad,2025,287,Bootstrapped,100000,25,45,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,11,Hybrid,0,0,1,Emerging
IndiaStartup_0046,SpaceTech,Nagpur,2023,89,Series A,0,130,7,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,26,Hybrid,0,0,0,Growing
IndiaStartup_0047,SpaceTech,Ahmedabad,2016,51,Series A,500000,34,8,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,27,Hybrid,0,0,0,Emerging
IndiaStartup_0048,DeepTech,Bengaluru,2024,385,Series A,0,76,43,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,15,Remote,0,1,1,Growing
IndiaStartup_0049,Robotics,Indore,2021,336,Series B,25000000,116,64,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,5,On-site,0,1,0,High Desirability
IndiaStartup_0050,Climate Tech,Bengaluru,2018,250,Series A,500000,86,31,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,5,Remote,0,0,1,Growing
IndiaStartup_0051,DevTools,Kochi,2019,154,Bootstrapped,100000,65,13,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,18,Remote,0,1,0,Emerging
IndiaStartup_0052,SpaceTech,Ahmedabad,2024,108,Series B,100000,143,17,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,28,Remote,0,0,0,High Desirability
IndiaStartup_0053,DeepTech,Hyderabad,2019,106,Seed,0,71,6,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,26,Remote,0,1,1,Growing
IndiaStartup_0054,HealthTech,Bengaluru,2019,341,Series A,25000000,57,30,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,9,Hybrid,0,0,1,High Desirability
IndiaStartup_0055,AgriTech,Chennai,2023,366,Seed,5000000,125,33,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,16,Remote,0,0,0,Growing
IndiaStartup_0056,FinTech,Ahmedabad,2022,121,Seed,10000000,170,19,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,12,Hybrid,0,0,0,High Desirability
IndiaStartup_0057,D2C,Surat,2025,133,Seed,10000000,114,16,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,3,On-site,0,0,0,Growing
IndiaStartup_0058,Robotics,Ahmedabad,2020,386,Bootstrapped,5000000,44,31,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,29,Remote,0,1,0,Emerging
IndiaStartup_0059,AI,Bengaluru,2023,102,Bootstrapped,250000,103,17,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,21,On-site,0,1,1,Growing
IndiaStartup_0060,HR Tech,Pune,2024,34,Series A,500000,94,5,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,3,Remote,0,0,0,High Desirability
IndiaStartup_0061,DeepTech,Indore,2021,91,Series B,500000,85,13,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,24,Hybrid,0,1,0,Growing
IndiaStartup_0062,Semiconductor,Jaipur,2019,175,Series A,500000,58,23,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,21,On-site,0,1,0,High Desirability
IndiaStartup_0063,Semiconductor,Hyderabad,2020,27,Pre-Series A,5000000,146,4,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,8,Remote,0,1,1,High Desirability
IndiaStartup_0064,HR Tech,Bengaluru,2023,356,Pre-Series A,1000000,45,30,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,15,Remote,0,0,1,High Desirability
IndiaStartup_0065,SaaS,Noida,2024,81,Series B,25000000,35,13,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,14,Remote,0,0,0,High Desirability
IndiaStartup_0066,DeepTech,Pune,2024,335,Pre-Series A,100000,130,33,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,20,On-site,0,1,0,Growing
IndiaStartup_0067,D2C,Gurugram,2016,24,Pre-Series A,250000,70,1,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,12,Remote,0,0,0,Emerging
IndiaStartup_0068,D2C,Indore,2023,229,Bootstrapped,100000,87,45,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,23,On-site,0,0,0,Emerging
IndiaStartup_0069,HR Tech,Kochi,2024,181,Series A,2000000,7,16,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,21,Hybrid,0,0,0,Emerging
IndiaStartup_0070,Robotics,Ahmedabad,2020,42,Series A,0,54,8,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,3,Hybrid,0,1,0,High Desirability
IndiaStartup_0071,HealthTech,Ahmedabad,2017,113,Series B,250000,152,21,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,19,Hybrid,0,0,0,Growing
IndiaStartup_0072,DevTools,Nagpur,2024,218,Series A,250000,31,8,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,29,Remote,0,1,0,Emerging
IndiaStartup_0073,SpaceTech,Indore,2022,135,Seed,10000000,43,17,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,7,On-site,0,0,0,Emerging
IndiaStartup_0074,Robotics,Delhi,2023,111,Bootstrapped,1000000,18,17,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,3,On-site,0,1,1,Growing
IndiaStartup_0075,Logistics,Surat,2022,340,Pre-Series A,10000000,126,27,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,12,On-site,0,0,0,Emerging
IndiaStartup_0076,HealthTech,Gurugram,2024,152,Pre-Series A,25000000,114,28,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,9,Hybrid,0,0,0,Emerging
IndiaStartup_0077,HealthTech,Ahmedabad,2020,21,Series A,25000000,154,2,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,11,Hybrid,0,0,0,Growing
IndiaStartup_0078,DeepTech,Chennai,2023,52,Series B,0,117,7,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,29,Remote,0,1,0,High Desirability
IndiaStartup_0079,DeepTech,Chennai,2023,172,Series B,250000,146,33,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,8,Remote,0,1,0,Growing
IndiaStartup_0080,Logistics,Indore,2021,126,Seed,250000,177,17,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,15,Remote,0,0,0,High Desirability
IndiaStartup_0081,Climate Tech,Chennai,2021,383,Bootstrapped,2000000,125,59,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,5,Hybrid,0,0,0,Emerging
IndiaStartup_0082,HealthTech,Mumbai,2019,364,Pre-Series A,10000000,180,44,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,4,Remote,0,0,1,Emerging
IndiaStartup_0083,AI,Jaipur,2017,249,Seed,2000000,18,19,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,26,On-site,0,1,0,Emerging
IndiaStartup_0084,Climate Tech,Mumbai,2021,134,Seed,10000000,114,23,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,9,Remote,0,0,1,Emerging
IndiaStartup_0085,Logistics,Indore,2020,250,Series A,10000000,28,47,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,13,On-site,0,0,0,Emerging
IndiaStartup_0086,EdTech,Indore,2024,219,Pre-Series A,5000000,111,8,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,4,Hybrid,0,0,0,Growing
IndiaStartup_0087,D2C,Surat,2024,45,Pre-Series A,250000,129,1,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,2,On-site,0,0,0,High Desirability
IndiaStartup_0088,Climate Tech,Bengaluru,2021,13,Bootstrapped,2000000,164,2,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,11,On-site,0,0,1,High Desirability
IndiaStartup_0089,HR Tech,Gurugram,2019,157,Bootstrapped,500000,38,25,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,8,Hybrid,0,0,0,Emerging
IndiaStartup_0090,EdTech,Noida,2023,260,Series A,100000,39,33,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,12,Remote,0,0,0,Emerging
IndiaStartup_0091,EdTech,Nagpur,2023,6,Bootstrapped,2000000,114,1,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,29,Hybrid,0,0,0,Emerging
IndiaStartup_0092,SpaceTech,Indore,2020,201,Pre-Series A,2000000,95,10,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,2,Remote,0,0,0,Emerging
IndiaStartup_0093,FinTech,Hyderabad,2020,150,Seed,25000000,179,18,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,16,On-site,0,0,1,High Desirability
IndiaStartup_0094,SpaceTech,Hyderabad,2020,163,Bootstrapped,250000,120,13,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,11,Remote,0,0,1,Emerging
IndiaStartup_0095,EdTech,Pune,2017,216,Series B,500000,157,9,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,7,Hybrid,0,0,0,Growing
IndiaStartup_0096,DevTools,Gurugram,2020,157,Pre-Series A,250000,11,15,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,28,Remote,0,1,0,Growing
IndiaStartup_0097,SpaceTech,Indore,2023,313,Series A,25000000,30,46,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,27,Hybrid,0,0,0,Growing
IndiaStartup_0098,EdTech,Hyderabad,2022,112,Pre-Series A,10000000,24,6,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,13,On-site,0,0,1,Emerging
IndiaStartup_0099,HealthTech,Nagpur,2018,146,Series B,25000000,10,29,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,10,On-site,0,0,0,Emerging
IndiaStartup_0100,AI,Mumbai,2023,88,Series B,25000000,80,16,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,22,On-site,0,1,1,High Desirability
IndiaStartup_0101,HR Tech,Surat,2025,223,Bootstrapped,5000000,131,12,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,4,On-site,0,0,0,Growing
IndiaStartup_0102,Climate Tech,Ahmedabad,2019,258,Series B,5000000,116,24,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,24,Remote,0,0,0,High Desirability
IndiaStartup_0103,DeepTech,Delhi,2018,106,Series A,10000000,62,17,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,26,Remote,0,1,1,High Desirability
IndiaStartup_0104,EdTech,Gurugram,2023,247,Pre-Series A,5000000,158,39,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,4,On-site,0,0,0,Emerging
IndiaStartup_0105,D2C,Surat,2020,6,Seed,2000000,131,1,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,15,On-site,0,0,0,High Desirability
IndiaStartup_0106,HR Tech,Kochi,2016,114,Series A,10000000,163,17,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,21,On-site,0,0,0,High Desirability
IndiaStartup_0107,Robotics,Indore,2018,36,Series B,2000000,178,2,SWE; PM; Ops,3.0,3.2,3.2,2.9,3.1,19,Remote,0,1,0,Emerging
IndiaStartup_0108,DevTools,Delhi,2016,131,Seed,0,164,11,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,27,On-site,0,1,1,Emerging
IndiaStartup_0109,HR Tech,Kochi,2016,81,Bootstrapped,2000000,157,11,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,10,On-site,0,0,0,High Desirability
IndiaStartup_0110,SaaS,Pune,2017,65,Pre-Series A,10000000,143,11,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,16,Remote,0,0,0,High Desirability
IndiaStartup_0111,Climate Tech,Hyderabad,2022,165,Bootstrapped,5000000,95,12,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,13,On-site,0,0,1,High Desirability
IndiaStartup_0112,Semiconductor,Bengaluru,2016,335,Series A,25000000,148,58,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,30,Hybrid,0,1,1,Growing
IndiaStartup_0113,HealthTech,Gurugram,2021,390,Pre-Series A,500000,77,51,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,1,Hybrid,0,0,0,High Desirability
IndiaStartup_0114,AgriTech,Hyderabad,2025,358,Series B,250000,69,38,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,2,Remote,0,0,1,High Desirability
IndiaStartup_0115,Logistics,Hyderabad,2021,36,Series B,100000,161,3,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,18,Hybrid,0,0,1,Growing
IndiaStartup_0116,AI,Delhi,2021,388,Seed,25000000,160,49,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,3,Remote,0,1,1,Growing
IndiaStartup_0117,Climate Tech,Kochi,2025,152,Series A,500000,76,9,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,14,Hybrid,0,0,0,Emerging
IndiaStartup_0118,Robotics,Nagpur,2020,322,Pre-Series A,100000,112,45,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,10,Remote,0,1,0,Growing
IndiaStartup_0119,DeepTech,Delhi,2016,398,Pre-Series A,250000,95,77,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,27,On-site,0,1,1,Emerging
IndiaStartup_0120,HealthTech,Mumbai,2023,90,Seed,250000,60,12,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,29,Hybrid,0,0,1,Growing
IndiaStartup_0121,Climate Tech,Delhi,2020,31,Bootstrapped,2000000,85,5,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,16,Hybrid,0,0,1,Emerging
IndiaStartup_0122,AgriTech,Surat,2016,34,Series A,5000000,82,5,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,15,Hybrid,0,0,0,High Desirability
IndiaStartup_0123,DevTools,Chennai,2020,278,Seed,1000000,118,54,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,6,Hybrid,0,1,0,Growing
IndiaStartup_0124,DevTools,Kochi,2025,327,Pre-Series A,100000,135,11,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,4,Remote,0,1,0,High Desirability
IndiaStartup_0125,Climate Tech,Delhi,2025,82,Seed,500000,11,15,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,9,Hybrid,0,0,1,Emerging
IndiaStartup_0126,EdTech,Pune,2024,163,Seed,25000000,99,18,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,2,Remote,0,0,0,Emerging
IndiaStartup_0127,HR Tech,Indore,2018,18,Series B,500000,46,3,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,20,Hybrid,0,0,0,High Desirability
IndiaStartup_0128,SpaceTech,Kochi,2020,233,Bootstrapped,1000000,118,34,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,21,On-site,0,0,0,Emerging
IndiaStartup_0129,D2C,Nagpur,2016,322,Series B,1000000,125,34,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,14,On-site,0,0,0,High Desirability
IndiaStartup_0130,DevTools,Indore,2022,185,Series A,25000000,54,19,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,6,On-site,0,1,0,High Desirability
IndiaStartup_0131,Robotics,Noida,2016,101,Series A,2000000,139,3,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,12,On-site,0,1,0,High Desirability
IndiaStartup_0132,HR Tech,Kochi,2020,314,Seed,10000000,169,38,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,14,Hybrid,0,0,0,High Desirability
IndiaStartup_0133,DeepTech,Pune,2025,363,Pre-Series A,25000000,153,36,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,8,Remote,0,1,0,Emerging
IndiaStartup_0134,Semiconductor,Delhi,2023,359,Series B,500000,103,30,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,20,Remote,0,1,1,Growing
IndiaStartup_0135,AI,Nagpur,2025,239,Bootstrapped,100000,126,25,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,6,Remote,0,1,0,Growing
IndiaStartup_0136,SaaS,Indore,2025,24,Seed,5000000,86,4,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,18,Hybrid,0,0,0,High Desirability
IndiaStartup_0137,AgriTech,Mumbai,2024,61,Series B,250000,105,4,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,3,Remote,0,0,1,High Desirability
IndiaStartup_0138,Semiconductor,Noida,2018,89,Bootstrapped,2000000,44,11,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,20,Remote,0,1,0,High Desirability
IndiaStartup_0139,AgriTech,Chennai,2019,338,Seed,5000000,6,44,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,17,On-site,0,0,0,Emerging
IndiaStartup_0140,HR Tech,Ahmedabad,2017,43,Series A,250000,62,2,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,21,Remote,0,0,0,Emerging
IndiaStartup_0141,FinTech,Gurugram,2020,142,Series A,2000000,130,13,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,7,On-site,0,0,0,High Desirability
IndiaStartup_0142,AI,Indore,2020,146,Seed,10000000,162,19,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,8,Hybrid,0,1,0,High Desirability
IndiaStartup_0143,Robotics,Bengaluru,2022,215,Series B,10000000,60,42,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,4,On-site,0,1,1,Growing
IndiaStartup_0144,EdTech,Nagpur,2018,75,Seed,10000000,81,5,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,10,Remote,0,0,0,Growing
IndiaStartup_0145,EdTech,Jaipur,2017,374,Series A,2000000,170,33,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,11,Remote,0,0,0,Emerging
IndiaStartup_0146,D2C,Gurugram,2018,240,Bootstrapped,100000,47,39,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,5,On-site,0,0,0,Growing
IndiaStartup_0147,EdTech,Noida,2020,282,Series A,10000000,18,23,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,25,Hybrid,0,0,0,Emerging
IndiaStartup_0148,Logistics,Hyderabad,2016,117,Seed,500000,166,7,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,14,Remote,0,0,1,Emerging
IndiaStartup_0149,FinTech,Delhi,2025,158,Bootstrapped,5000000,19,8,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,8,Remote,0,0,1,Growing
IndiaStartup_0150,Semiconductor,Kochi,2021,200,Bootstrapped,1000000,22,15,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,24,Hybrid,0,1,0,High Desirability
IndiaStartup_0151,Robotics,Ahmedabad,2016,257,Bootstrapped,2000000,87,22,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,25,Remote,0,1,0,Growing
IndiaStartup_0152,Climate Tech,Kochi,2023,93,Pre-Series A,2000000,73,5,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,9,Remote,0,0,0,Emerging
IndiaStartup_0153,SpaceTech,Chennai,2022,287,Series B,25000000,57,38,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,23,Hybrid,0,0,0,Emerging
IndiaStartup_0154,SpaceTech,Noida,2018,182,Seed,10000000,135,10,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,19,Hybrid,0,0,0,Emerging
IndiaStartup_0155,AI,Noida,2020,283,Seed,25000000,141,11,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,6,Hybrid,0,1,0,Growing
IndiaStartup_0156,Logistics,Nagpur,2018,203,Series B,2000000,158,7,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,5,Remote,0,0,0,High Desirability
IndiaStartup_0157,HR Tech,Gurugram,2019,11,Bootstrapped,0,101,1,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,29,Remote,0,0,0,Emerging
IndiaStartup_0158,FinTech,Mumbai,2025,319,Bootstrapped,2000000,49,13,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,12,On-site,0,0,1,Emerging
IndiaStartup_0159,FinTech,Chennai,2016,224,Seed,500000,30,32,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,30,Remote,0,0,0,Growing
IndiaStartup_0160,Robotics,Pune,2016,357,Series A,1000000,95,64,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,19,Hybrid,0,1,0,Emerging
IndiaStartup_0161,SpaceTech,Chennai,2017,183,Seed,0,163,19,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,6,Remote,0,0,0,High Desirability
IndiaStartup_0162,FinTech,Chennai,2018,91,Pre-Series A,5000000,105,12,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,15,Remote,0,0,0,High Desirability
IndiaStartup_0163,AI,Kochi,2019,390,Seed,500000,89,66,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,7,On-site,0,1,0,High Desirability
IndiaStartup_0164,SaaS,Pune,2019,341,Bootstrapped,10000000,163,16,SWE; PM; Ops,2.9,3.1,3.1,2.8,3.0,27,Remote,0,0,0,Emerging
IndiaStartup_0165,DeepTech,Gurugram,2019,257,Series B,500000,138,26,SWE; PM; Ops,4.6,4.8,4.9,4.5,4.7,2,On-site,0,1,0,High Desirability
